project_id,source_family,source_project_ids,source_addresses,component_pins,project_kind,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,far,dupac,class_values,external_multifamily,multifamily_source,source_row_ids,tax_year,evidence_ids,decision_references,decision_reason,geometry_source,geometry_evidence,x_3435,y_3435,location_resolved,zoning_group,zoning_year,zoning_source,zoning_note
residential_20041230440000,residential,residential_20041230440000,NA,20041230440000,single_pin_single_card,2020,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123044000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,919428,1171785.3318052327,1876450.577306347,TRUE,NA,NA,NA,NA
residential_20041230450000,residential,residential_20041230450000,NA,20041230450000,single_pin_single_card,2021,1,2558,2476,TRUE,TRUE,1.0331179321486268,17.592891760904685,278,FALSE,selected_assessor_class_and_finished_home_count,2004123045000012022,2022,NA,NA,NA,historical_parcel_centroid,1217733,1171785.8088911255,1876428.2817282986,TRUE,NA,NA,NA,NA
residential_20041230470000,residential,residential_20041230470000,NA,20041230470000,single_pin_single_card,2021,1,2558,3017,TRUE,TRUE,0.8478621146834604,14.438183626118661,278,FALSE,selected_assessor_class_and_finished_home_count,2004123047000012022,2022,NA,NA,NA,historical_parcel_centroid,1217741,1171790.3790493575,1876404.957743146,TRUE,NA,NA,NA,NA
residential_20041260750000,residential,residential_20041260750000,NA,20041260750000,single_pin_single_card,2006,1,5004,5029,TRUE,TRUE,0.9950288327699344,8.661761781666335,209,FALSE,selected_assessor_class_and_finished_home_count,2004126075000012022,2022,NA,NA,NA,exact_pin_next_year_point,590484,1172757.300863593,1877079.2522068156,TRUE,NA,NA,NA,NA
residential_20041270040000,residential,residential_20041270040000,NA,20041270040000,single_pin_single_card,2006,1,2240,3125,TRUE,TRUE,0.7168,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004127004000012022,2022,NA,NA,NA,historical_parcel_centroid,590544,1173122.6500000004,1876965.4000000025,TRUE,NA,NA,NA,NA
residential_20041270090000,residential,residential_20041270090000,NA,20041270090000,single_pin_single_card,2010,1,1258,3125,TRUE,TRUE,0.40256,13.9392,203,FALSE,selected_assessor_class_and_finished_home_count,2004127009000012022,2022,NA,NA,NA,historical_parcel_centroid,590537,1173247.5944299311,1876969.0729996196,TRUE,NA,NA,NA,NA
residential_20041270100000,residential,residential_20041270100000,NA,20041270100000,single_pin_single_card,2015,1,2272,3125,TRUE,TRUE,0.72704,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004127010000012022,2022,NA,NA,NA,historical_parcel_centroid,517746,1173272.5750920794,1876969.8034714102,TRUE,NA,NA,NA,NA
residential_20041270110000,residential,residential_20041270110000,NA,20041270110000,single_pin_single_card,2015,1,2272,3125,TRUE,TRUE,0.72704,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004127011000012022,2022,NA,NA,NA,historical_parcel_centroid,518335,1173297.5603303392,1876970.5252378366,TRUE,NA,NA,NA,NA
residential_20041270120000,residential,residential_20041270120000,NA,20041270120000,single_pin_single_card,2016,1,2272,3125,TRUE,TRUE,0.72704,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004127012000012022,2022,NA,NA,NA,historical_parcel_centroid,711719,1173322.5547520134,1876971.2681767938,TRUE,NA,NA,NA,NA
residential_20041280050000,residential,residential_20041280050000,NA,20041280050000,single_pin_single_card,2015,1,2249,3125,TRUE,TRUE,0.71968,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004128005000012022,2022,NA,NA,NA,historical_parcel_centroid,517683,1173828.3599999994,1876986.1799999997,TRUE,NA,NA,NA,NA
residential_20041280060000,residential,residential_20041280060000,NA,20041280060000,single_pin_single_card,2016,1,2238,3125,TRUE,TRUE,0.71616,13.9392,278,FALSE,selected_assessor_class_and_finished_home_count,2004128006000012022,2022,NA,NA,NA,historical_parcel_centroid,711746,1173853.3499414271,1876986.9200163868,TRUE,NA,NA,NA,NA
residential_20041280290000,residential,residential_20041280290000,NA,20041280290000,single_pin_single_card,2010,1,2104,2142,TRUE,TRUE,0.9822595704948646,20.33613445378151,278,FALSE,selected_assessor_class_and_finished_home_count,2004128029000012011,2011,NA,NA,NA,historical_parcel_centroid,590560,1173739.309259839,1876970.8849189125,TRUE,NA,NA,NA,NA
residential_20041280300000,residential,residential_20041280300000,NA,20041280300000,single_pin_single_card,2010,1,2162,3108,TRUE,TRUE,0.6956241956241956,14.015444015444016,278,FALSE,selected_assessor_class_and_finished_home_count,2004128030000012011,2011,NA,NA,NA,historical_parcel_centroid,590567,1173740.1995809772,1876939.9705002997,TRUE,NA,NA,NA,NA
residential_20041280350000,residential,residential_20041280350000,NA,20041280350000,single_pin_single_card,2006,1,2200,3093,TRUE,TRUE,0.7112835434852893,14.08341416100873,278,FALSE,selected_assessor_class_and_finished_home_count,2004128035000012022,2022,NA,NA,NA,historical_parcel_centroid,1531853,1174103.2400000005,1876994.3299999987,TRUE,NA,NA,NA,NA
residential_20041280360000,residential,residential_20041280360000,NA,20041280360000,single_pin_single_card,2006,1,2200,3091,TRUE,TRUE,0.7117437722419929,14.092526690391459,278,FALSE,selected_assessor_class_and_finished_home_count,2004128036000012022,2022,NA,NA,NA,historical_parcel_centroid,1531855,1174078.2496709544,1876993.5847419214,TRUE,NA,NA,NA,NA
residential_20041280370000,residential,residential_20041280370000,NA,20041280370000,single_pin_single_card,2006,1,2200,3093,TRUE,TRUE,0.7112835434852893,14.08341416100873,278,FALSE,selected_assessor_class_and_finished_home_count,2004128037000012022,2022,NA,NA,NA,historical_parcel_centroid,1531857,1174053.2599999998,1876992.8399999999,TRUE,NA,NA,NA,NA
residential_20041280380000,residential,residential_20041280380000,NA,20041280380000,single_pin_single_card,2007,1,2200,3091,TRUE,TRUE,0.7117437722419929,14.092526690391459,278,FALSE,selected_assessor_class_and_finished_home_count,2004128038000012022,2022,NA,NA,NA,historical_parcel_centroid,1531859,1174028.2700000005,1876992.099999998,TRUE,NA,NA,NA,NA
residential_20041280390000,residential,residential_20041280390000,NA,20041280390000,single_pin_single_card,2006,1,2200,3090,TRUE,TRUE,0.7119741100323624,14.097087378640778,278,FALSE,selected_assessor_class_and_finished_home_count,2004128039000012022,2022,NA,NA,NA,historical_parcel_centroid,1531860,1174003.295257379,1876991.351756392,TRUE,NA,NA,NA,NA
residential_20041280410000,residential,residential_20041280410000,NA,20041280410000,single_pin_single_card,2006,1,1976,3125,TRUE,TRUE,0.63232,13.9392,207,FALSE,selected_assessor_class_and_finished_home_count,2004128041000012022,2022,NA,NA,NA,exact_pin_next_year_point,585366,1173983.4547394754,1876819.037544992,TRUE,NA,NA,NA,NA
