month,ward,alderman
Dec 1998,20,Arenda Troutman
Dec 1998,21,Leonard DeVille
Dec 1998,22,Ricardo Munoz
Dec 1998,23,Michael Zalewski
Dec 1998,24,Michael Chandler
Dec 1998,25,Daniel Solis
Dec 1998,26,Billy Ocasio
Dec 1998,27,"Walter Burnett, Jr."
Dec 1998,28,Ed Smith
Dec 1998,29,Sam Burrell
Dec 1998,30,Michael Wojcik
Dec 1998,31,Ray Suarez
Dec 1998,32,Theodore Matlak
Dec 1998,33,Dick Mell
Dec 1998,34,Carrie Austin
Dec 1998,35,Vilma Colom
Dec 1998,36,William Banks
Dec 1998,37,Percy Z. Giles
Dec 1998,38,Thomas Allen
Dec 1998,39,Margaret Laurino
Dec 1998,40,Patrick O'Connor
Dec 1998,41,Brian Doherty
Dec 1998,42,Burton Natarus
Dec 1998,43,Charles Bernardini
Dec 1998,44,Bernie Hansen
Dec 1998,45,Patrick Levar
Dec 1998,46,Helen Shiller
Dec 1998,47,Eugene Schulter
Dec 1998,48,Mary Ann Smith
Dec 1998,49,Joe Moore
Dec 1998,50,Bernard Stone
Jan 1999,1,Jesse Granato
Jan 1999,2,Madeline Haithcock
Jan 1999,3,Dorothy Tillman
Jan 1999,4,Toni Preckwinkle
Jan 1999,5,Barbara Holt
Jan 1999,6,Fredrenna Lyle
Jan 1999,7,William Beavers
Jan 1999,8,Lorraine Dixon
Jan 1999,9,Melvin Powell Sr.
Jan 1999,10,John J. Buchanan
Jan 1999,11,James Balcer
Jan 1999,12,Ray Frias
Jan 1999,13,Frank Olivo
Jan 1999,14,Ed Burke
Jan 1999,15,Virgil E. Jones
Jan 1999,16,Shirley Coleman
Jan 1999,17,Terry Peterson
Jan 1999,18,Thomas Murphy
Jan 1999,19,Virginia Rugai
Jan 1999,20,Arenda Troutman
Jan 1999,21,Leonard DeVille
Jan 1999,22,Ricardo Munoz
Jan 1999,23,Michael Zalewski
Jan 1999,24,Michael Chandler
Jan 1999,25,Daniel Solis
Jan 1999,26,Billy Ocasio
