draw,density_multifamily_far_binary,density_multifamily_dupac_binary,density_multifamily_far_continuous,density_multifamily_dupac_continuous
205,-0.22003445689261233,-0.10107894621210271,-0.11440428628534836,-0.08600731566142018
206,-0.38399233711044933,-0.3801895189635418,-0.2214731060545974,-0.21171258722551356
207,-0.3405521628446358,-0.3407681520100603,-0.28422451660873244,-0.21914618329006133
208,-0.20365491154902024,-0.1291064295878932,-0.18570582491295534,-0.15393612145407168
209,-0.29107210537661155,-0.13140583968073613,-0.14340423944096803,-0.03794597999354896
210,-0.15637008036264355,-0.21619497473228375,-0.10453105892191628,-0.058246102512689864
211,-0.1839665383500282,-0.2685936391889082,-0.14299945539581088,-0.13723432683088846
212,-0.08262305699313893,-0.13150936773020744,-0.13311082309287012,-0.14502341697639132
213,-0.2057131132841544,-0.07779338636305731,-0.14987670099970338,-0.1143738116993371
214,-0.17557426950113603,-0.038452946413365094,-0.16660673644123145,-0.07560993300326233
215,-0.32884651016252486,-0.3371403186295953,-0.13596521054487679,-0.13100953878576896
216,-0.0880319679114989,-0.15686257340717905,-0.11868465743618856,-0.19668724097873128
217,-0.27081856955758504,-0.22399830357813222,-0.1518961506738672,-0.11919303114903051
218,-0.2842821128256391,-0.38054173910670214,-0.22367614400052585,-0.23815414654207134
219,-0.1459950398313143,-0.10849179798533846,-0.19494900749751407,-0.17370214942530715
220,-0.17569063852651576,-0.2936059186563113,-0.16948040167565787,-0.187734088616468
221,-0.3728230992244343,-0.4373567542477008,-0.24606621498308412,-0.2282494527700669
222,-0.18781651837554353,-0.22799843252522461,-0.16734498548193907,-0.08257587436821781
223,-0.39340983998808265,-0.3062264613813874,-0.19184867749576912,-0.19470174654219183
224,-0.3428530602923629,-0.3096171015963434,-0.13692736740505076,-0.08099401404986309
225,-0.29725757788182683,-0.3430811050754125,-0.15337266596990512,-0.13381135512218997
226,-0.16039730980625877,-0.13582866086641246,-0.15520122184371699,-0.06044601159920606
227,-0.2576586777885209,-0.332055556715159,-0.1747219351793224,-0.1294342944875441
228,-0.27594404725547894,-0.3353627074454809,-0.1468499653408517,-0.09874445448270483
229,-0.18124831911324374,-0.31689298536145943,-0.1325887946703345,-0.17517154006801147
230,-0.31391685131612984,-0.277075590730824,-0.1099722933728954,-0.0564312363522925
231,-0.32087260362911607,-0.17398556009122867,-0.14535503061489305,-0.13557577558722236
232,-0.24779906379047906,-0.24173851188960807,-0.19516612641825956,-0.1626818893138574
233,-0.14945605487718897,-0.1208909815294424,-0.10947835008094109,-0.07738586862280594
234,-0.262651574463443,-0.25394806648394624,-0.15395833801316078,-0.07403726953370236
235,-0.3213497852933878,-0.1693884785498471,-0.18286970793687607,-0.08369312012289834
236,-0.1839509160125474,-0.23155569661128003,-0.12248809221115754,-0.07206253434797978
237,-0.10304527038148982,-0.049788344125432246,-0.10186746450078535,-0.11733349173992477
238,-0.19983448525885772,-0.21066418592190755,-0.18568685101850613,-0.12485650877092337
239,-0.22502716009689502,-0.030646175790014735,-0.11922318274178925,-0.034871061723512106
240,-0.0767789004572622,-0.13081489485578426,-0.175991155711227,-0.16501298050327656
241,-0.1583078326137478,-0.002635800090176965,-0.08487262693768666,-0.040594903659106604
242,-0.27968258831979304,-0.2820837521811012,-0.18724348189876422,-0.12213152545504297
243,-0.23553759797705892,-0.26506361162260916,-0.13987932795932767,-0.19212374764102252
244,-0.22977128734646105,-0.35174241788836497,-0.22854537465860011,-0.22382804394630054
245,-0.2862785366773804,-0.34841131336379233,-0.1754386005277956,-0.15317708936880306
246,-0.26722081275819454,-0.2683483497673575,-0.208416070889788,-0.21599579189508125
