component_id,card_id,successor_id,project_id,card_num,card_units,card_building_sqft,project_pin,construction_year,within_500ft,successor_type,successor_pin,successor_pin10,successor_address,successor_year,year_gap,successor_class,successor_units,successor_building_sqft,successor_land_sqft,successor_x_3435,successor_y_3435,represented_project_ids,search_geometry_source,projects_per_condo_base,within_one_year,within_two_years,automatic_candidate,building_ratio,match_quality
episode_014,13243050580000_card_5,noncondo_13243050730000,residential_multicard_13243050580000,5,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050730000,1324305073,3437 N WHIPPLE ST,2014,0,295,1,1982,1116,1155502.8874723678,1922814.151287572,residential_13243050730000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_014,13243050580000_card_6,noncondo_13243050740000,residential_multicard_13243050580000,6,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050740000,1324305074,3435 N WHIPPLE ST,2016,2,295,1,1982,1004,1155503.2387119418,1922795.1122963573,residential_13243050740000,construction_year_parcel,NA,FALSE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_1,noncondo_13243050750000,residential_multicard_13243050670000,1,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050750000,1324305075,3005 W NEWPORT AVE,2014,0,295,1,1982,1084,1155709.010125,1922917.5997500008,residential_13243050750000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_2,noncondo_13243050760000,residential_multicard_13243050670000,2,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050760000,1324305076,3007 W NEWPORT AVE,2014,0,295,1,1982,1089,1155708.9947500003,1922897.6497500015,residential_13243050760000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_3,noncondo_13243050770000,residential_multicard_13243050670000,3,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050770000,1324305077,3009 W NEWPORT AVE,2014,0,295,1,1982,1465,1155713.0955573453,1922873.2946486585,residential_13243050770000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_4,noncondo_13243050780000,residential_multicard_13243050670000,4,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050780000,1324305078,3011 W NEWPORT AVE,2014,0,295,1,1982,1494,1155703.1986417656,1922846.490634687,residential_13243050780000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_5,noncondo_13243050790000,residential_multicard_13243050670000,5,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050790000,1324305079,3013 W NEWPORT AVE,2014,0,295,1,1982,1109,1155682.9454731953,1922832.7883895105,residential_13243050790000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_6,noncondo_13243050800000,residential_multicard_13243050670000,6,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050800000,1324305080,3015 W NEWPORT AVE,2016,2,295,1,1982,1090,1155666.8578434398,1922820.6118414649,residential_13243050800000,construction_year_parcel,NA,FALSE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_7,noncondo_13243050810000,residential_multicard_13243050670000,7,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050810000,1324305081,3017 W NEWPORT AVE,2014,0,295,1,1982,1090,1155651.005281911,1922808.4177539549,residential_13243050810000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_015,13243050670000_card_8,noncondo_13243050820000,residential_multicard_13243050670000,8,1,1982,13243050670000,2014,FALSE,current_noncondo_parcel,13243050820000,1324305082,3019 W NEWPORT AVE,2014,0,295,1,1982,1409,1155633.9512016175,1922791.4002665293,residential_13243050820000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_016,13243050590000_card_1,noncondo_13243050830000,residential_multicard_13243050590000,1,1,1982,13243050590000,2014,FALSE,current_noncondo_parcel,13243050830000,1324305083,3433 N WHIPPLE ST,2014,0,295,1,1982,1456,1155503.1440328336,1922772.5893460189,residential_13243050830000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_016,13243050590000_card_2,noncondo_13243050840000,residential_multicard_13243050590000,2,1,1982,13243050590000,2014,FALSE,current_noncondo_parcel,13243050840000,1324305084,3431 N WHIPPLE ST,2014,0,295,1,1982,1101,1155503.636545166,1922748.8188172476,residential_13243050840000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_016,13243050590000_card_3,noncondo_13243050850000,residential_multicard_13243050590000,3,1,1982,13243050590000,2014,FALSE,current_noncondo_parcel,13243050850000,1324305085,3429 N WHIPPLE ST,2014,0,295,1,1982,1805,1155504.1997974385,1922721.581265706,residential_13243050850000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_017,13243050680000_card_1,noncondo_13243050880000,residential_multicard_13243050680000,1,1,1982,13243050680000,2014,FALSE,current_noncondo_parcel,13243050880000,1324305088,3032 W NEWPORT AVE,2014,0,295,1,1982,1241,1155574.0598926053,1922780.208604752,residential_13243050880000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_017,13243050680000_card_2,noncondo_13243050890000,residential_multicard_13243050680000,2,1,1982,13243050680000,2014,FALSE,current_noncondo_parcel,13243050890000,1324305089,3034 W NEWPORT AVE,2014,0,295,1,1982,1079,1155574.336297357,1922758.7103904316,residential_13243050890000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_017,13243050680000_card_3,noncondo_13243050900000,residential_multicard_13243050680000,3,1,1982,13243050680000,2014,FALSE,current_noncondo_parcel,13243050900000,1324305090,3036 W NEWPORT AVE,2014,0,295,1,1982,1556,1155571.6686038107,1922733.6640427536,residential_13243050900000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_018,13252030410000_card_1,noncondo_13252030530000,residential_multicard_13252030410000,1,1,1983,13252030410000,2006,TRUE,current_noncondo_parcel,13252030530000,1325203053,2456 W FLETCHER ST,2006,0,295,1,2066,819,1159296.6827141007,1920904.556802811,residential_13252030530000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1.0418557740796772,within_5pct
episode_018,13252030410000_card_2,noncondo_13252030520000,residential_multicard_13252030410000,2,1,1755,13252030410000,2006,TRUE,current_noncondo_parcel,13252030520000,1325203052,2454 W FLETCHER ST,2006,0,295,1,1832,708,1159316.468383451,1920904.346353593,residential_13252030520000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1.0438746438746438,within_5pct
episode_019,13254120290000_card_1,noncondo_13254120340000,residential_multicard_13254120290000,1,1,2800,13254120290000,2007,TRUE,current_noncondo_parcel,13254120340000,1325412034,2619 N ROCKWELL ST,2005,-2,278,1,2800,3365,1158675.4285288667,1917503.996841759,NA,construction_year_parcel,NA,FALSE,TRUE,TRUE,1,within_2pct
episode_019,13254120290000_card_2,noncondo_13254120330000,residential_multicard_13254120290000,2,1,2470,13254120290000,2007,TRUE,current_noncondo_parcel,13254120330000,1325412033,2623 N ROCKWELL ST,2007,0,278,1,2250,3843,1158643.7902979876,1917540.186866308,residential_13254120330000,construction_year_parcel,NA,TRUE,TRUE,TRUE,0.9109311740890689,within_10pct
episode_020,13263110220000_card_1,noncondo_13263110390000,residential_multicard_13263110220000,1,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110390000,1326311039,2659 N HAMLIN AVE,2014,0,295,1,2142,2380,1150688.3565843813,1917646.729441956,residential_13263110390000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_10,noncondo_13263110400000,residential_multicard_13263110220000,10,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110400000,1326311040,2657 N HAMLIN AVE,2014,0,295,1,2142,2267,1150689.3322900007,1917625.8227642016,residential_13263110400000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_11,noncondo_13263110410000,residential_multicard_13263110220000,11,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110410000,1326311041,2655 N HAMLIN AVE,2014,0,295,1,2142,2267,1150689.82864808,1917607.829899224,residential_13263110410000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_12,noncondo_13263110420000,residential_multicard_13263110220000,12,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110420000,1326311042,2653 N HAMLIN AVE,2014,0,295,1,2142,2267,1150690.3313907837,1917589.8369714012,residential_13263110420000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_13,noncondo_13263110430000,residential_multicard_13263110220000,13,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110430000,1326311043,2651 N HAMLIN AVE,2014,0,295,1,2142,2266,1150690.8312736538,1917571.8438085003,residential_13263110430000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_14,noncondo_13263110440000,residential_multicard_13263110220000,14,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110440000,1326311044,2649 N HAMLIN AVE,2014,0,295,1,2142,2266,1150691.330093728,1917553.8506862216,residential_13263110440000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_15,noncondo_13263110450000,residential_multicard_13263110220000,15,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110450000,1326311045,2647 N HAMLIN AVE,2014,0,295,1,2142,2266,1150691.8290735877,1917535.8576907497,residential_13263110450000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_16,noncondo_13263110460000,residential_multicard_13263110220000,16,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110460000,1326311046,2645 N HAMLIN AVE,2014,0,295,1,2142,2956,1150692.4039502684,1917515.1257727176,residential_13263110460000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_2,noncondo_13263110470000,residential_multicard_13263110220000,2,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110470000,1326311047,2643 N HAMLIN AVE,2014,0,295,1,2142,2960,1150693.0550218828,1917491.6346515233,residential_13263110470000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_3,noncondo_13263110480000,residential_multicard_13263110220000,3,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110480000,1326311048,2641 N HAMLIN AVE,2014,0,295,1,2142,2265,1150693.63018611,1917470.882494403,residential_13263110480000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_4,noncondo_13263110490000,residential_multicard_13263110220000,4,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110490000,1326311049,2639 N HAMLIN AVE,2014,0,295,1,2142,2265,1150694.1292542564,1917452.8895012073,residential_13263110490000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_5,noncondo_13263110500000,residential_multicard_13263110220000,5,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110500000,1326311050,2637 N HAMLIN AVE,2014,0,295,1,2142,2265,1150694.6278245947,1917434.8964362736,residential_13263110500000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_6,noncondo_13263110510000,residential_multicard_13263110220000,6,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110510000,1326311051,2635 N HAMLIN AVE,2014,0,295,1,2142,2265,1150695.1265483613,1917416.9033100232,residential_13263110510000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_020,13263110220000_card_7,noncondo_13263110520000,residential_multicard_13263110220000,7,1,2142,13263110220000,2014,TRUE,current_noncondo_parcel,13263110520000,1326311052,2633 N HAMLIN AVE,2014,0,295,1,2142,2264,1150695.6254771787,1917398.910253439,residential_13263110520000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
