project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,candidate_status,decision_reason,replacement_project_ids,replacement_check
residential_14294080060000,residential,single_pin_single_card,14294080060000,1,2004,1,3230,3144,278,1429408006000012022,NA,NA,assessor_row:1429408006000012022,assessor_row:1429408006000012022,assessor_row:1429408006000012022,assessor_row:1429408006000012022,255.34929399838617,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294080070000,residential,single_pin_single_card,14294080070000,1,2015,1,4028,3144,208,1429408007000012022,permit_chain_100606201,100606201,assessor_row:1429408007000012022,assessor_row:1429408007000012022,assessor_row:1429408007000012022,assessor_row:1429408007000012022,234.03494625160957,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294080110000,residential,single_pin_single_card,14294080110000,1,2013,1,3593,3105,278,1429408011000012022,permit_chain_100505383,100505383,issued_permit_chain:permit_chain_100505383,assessor_row:1429408011000012022,assessor_row:1429408011000012022,assessor_row:1429408011000012022,230.98755561423516,TRUE,retain_mechanical,single_exact_permit_chain_one_year_after_assessor_year,NA,NA
residential_14294080250000,residential,single_pin_single_card,14294080250000,1,2015,1,3650,3125,278,1429408025000012022,permit_chain_100602081,100602081,assessor_row:1429408025000012022,assessor_row:1429408025000012022,assessor_row:1429408025000012022,assessor_row:1429408025000012022,273.8000129741199,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294080260000,residential,single_pin_single_card,14294080260000,1,2002,1,3000,3125,278,1429408026000012022,NA,NA,assessor_row:1429408026000012022,assessor_row:1429408026000012022,assessor_row:1429408026000012022,assessor_row:1429408026000012022,115.802675488237,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294080270000,residential,single_pin_single_card,14294080270000,1,2006,1,3798,3125,278,1429408027000012022,NA,NA,assessor_row:1429408027000012022,assessor_row:1429408027000012022,assessor_row:1429408027000012022,assessor_row:1429408027000012022,230.61068645091692,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294080280000,residential,single_pin_single_card,14294080280000,1,2003,1,3756,3125,278,1429408028000012022,NA,NA,assessor_row:1429408028000012022,assessor_row:1429408028000012022,assessor_row:1429408028000012022,assessor_row:1429408028000012022,230.566436638226,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294080390000,residential,single_pin_single_card,14294080390000,1,2026,2,3680,3144,211,1429408039000022026,permit_chain_101069631,101069631,assessor_row:1429408039000022026,assessor_row:1429408039000022026,assessor_row:1429408039000022026,assessor_row:1429408039000022026,171.10368062251024,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294090020000,residential,single_pin_single_card,14294090020000,1,2008,1,4305,5250,208,1429409002000012022,NA,NA,assessor_row:1429409002000012022,assessor_row:1429409002000012022,assessor_row:1429409002000012022,assessor_row:1429409002000012022,186.68742124597796,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294090090000,residential,single_pin_single_card,14294090090000,1,2022,1,3894,3125,208,1429409009000022022,permit_chain_100906195,100906195,assessor_row:1429409009000022022,assessor_row:1429409009000022022,assessor_row:1429409009000022022,assessor_row:1429409009000022022,300.8454814246168,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294090150000,residential,single_pin_single_card,14294090150000,1,1999,1,3780,3125,278,1429409015000012022,NA,NA,assessor_row:1429409015000012022,assessor_row:1429409015000012022,assessor_row:1429409015000012022,assessor_row:1429409015000012022,80.8815797348758,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294090330000,residential,single_pin_single_card,14294090330000,1,1999,1,3775,3125,278,1429409033000012022,NA,NA,assessor_row:1429409033000012022,assessor_row:1429409033000012022,assessor_row:1429409033000012022,assessor_row:1429409033000012022,75.89803071050429,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
