project_id,project_pin,construction_year,within_500ft,search_geometry_source,current_pin,current_pin10,current_tax_year,current_class,current_x_3435,current_y_3435,current_address,latest_assessor_year,latest_assessor_cards,latest_assessor_classes,latest_assessor_year_built,latest_assessor_units,latest_assessor_building_sqft,latest_assessor_land_sqft,component_project_ids,represented_by_other_final_project,same_original_pin
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290770000,1727129077,2025,295,1179127.0356692106,1887496.2709985955,355 E EASTGATE PL,2025,1,295,2008,1,1603,802,residential_17271290770000,TRUE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290780000,1727129078,2025,295,1179144.4159772135,1887495.055973153,357 E EASTGATE PL,2025,1,295,2005,1,1818,860,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290790000,1727129079,2025,295,1179164.520915853,1887495.5760677608,359 E EASTGATE PL,2025,1,295,2005,1,2148,1135,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290840000,1727129084,2025,100,1179049.1904541475,1887547.2648373505,348 E EASTGATE PL,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290870000,1727129087,2025,100,1179025.9803938882,1887701.9511460671,349 E 25TH PL,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290890000,1727129089,2025,100,1179182.7408480567,1887490.9568890447,361 E EASTGATE LN,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210220000,1911121022,2025,207,1152721.2809598956,1870657.5436742036,3646 W 51ST ST,2025,1,207,2007,1,1878,3418,residential_19111210220000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210230000,1911121023,2025,207,1152748.0097453145,1870658.2971974944,3644 W 51ST ST,2025,1,207,2007,1,1759,3385,residential_19111210230000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210240000,1911121024,2025,207,1152774.5985699596,1870659.043244221,3642 W 51ST ST,2025,1,207,2007,1,1852,3386,residential_19111210240000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210250000,1911121025,2025,100,1152801.1869976537,1870659.7902931569,3640 W 51ST ST .5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
