pin,construction_year,construction_zone_group
13362290840000,2008,Multi-Family Residential
13362300400000,2007,Neighborhood Mixed-Use
13362300470000,2014,Single-Family Residential
13362300630000,2014,Single-Family Residential
13362300820000,2021,Single-Family Residential
13362310090000,2020,Neighborhood Mixed-Use
13362330050000,2014,Single-Family Residential
13362330090000,2012,Single-Family Residential
13362330130000,2014,Single-Family Residential
13362330140000,2018,Single-Family Residential
13362330170000,2012,Single-Family Residential
13362330230000,2019,Single-Family Residential
13362330240000,2021,Single-Family Residential
13362330350000,2020,Single-Family Residential
13362330360000,2019,Single-Family Residential
13363000190000,2020,Single-Family Residential
13363000200000,2020,Single-Family Residential
13363000240000,2014,Single-Family Residential
13363010120000,2014,Single-Family Residential
13363010220000,2014,Single-Family Residential
13363010240000,2016,Single-Family Residential
13363020070000,2008,Single-Family Residential
13363020190000,2012,Single-Family Residential
13363030050000,2011,Multi-Family Residential
13363030060000,2013,Single-Family Residential
13363030110000,2019,Single-Family Residential
13363030140000,2017,Single-Family Residential
13363050010000,2017,Neighborhood Mixed-Use
13363050170000,2011,Single-Family Residential
13363050290000,2011,Single-Family Residential
13363060110000,2011,Single-Family Residential
13363060240000,2017,Single-Family Residential
13363060420000,2015,Single-Family Residential
13363070120000,2015,Single-Family Residential
13363070190000,2015,Single-Family Residential
13363080230000,2015,Single-Family Residential
13363090180000,2009,Single-Family Residential
13363090200000,2008,Single-Family Residential
13363100010000,2011,Single-Family Residential
13363100020000,2012,Single-Family Residential
13363100140000,2019,Single-Family Residential
13363110040000,2014,Single-Family Residential
13363110050000,2014,Single-Family Residential
13363140140000,2021,Single-Family Residential
13363140340000,2011,Single-Family Residential
13363140350000,2011,Single-Family Residential
13363140360000,2012,Single-Family Residential
13363140380000,2020,Single-Family Residential
13363140390000,2016,Single-Family Residential
13363140430000,2006,Single-Family Residential
13363150160000,2016,Single-Family Residential
13363150180000,2016,Single-Family Residential
13363150190000,2014,Single-Family Residential
13363150240000,2017,Neighborhood Mixed-Use
13363150460000,2006,Multi-Family Residential
13363150470000,2006,Multi-Family Residential
13363150480000,2006,Multi-Family Residential
13363150490000,2006,Multi-Family Residential
13363150500000,2006,Multi-Family Residential
13363150510000,2006,Multi-Family Residential
13363150520000,2006,Multi-Family Residential
13363150530000,2014,Neighborhood Mixed-Use
13363150560000,2017,Neighborhood Mixed-Use
13363150570000,2015,Neighborhood Mixed-Use
13363150580000,2015,Neighborhood Mixed-Use
13363150590000,2017,Neighborhood Mixed-Use
13363160080000,2015,Multi-Family Residential
13363160210000,2021,Neighborhood Mixed-Use
13363160220000,2011,Neighborhood Mixed-Use
13363160300000,2018,Multi-Family Residential
13363160390000,2012,Single-Family Residential
13363170050000,2013,Single-Family Residential
13363170060000,2011,Single-Family Residential
13363170070000,2014,Single-Family Residential
13363170100000,2017,Single-Family Residential
13363170270000,2011,Single-Family Residential
13363170280000,2013,Single-Family Residential
13363170330000,2012,Single-Family Residential
13363170370000,2014,Single-Family Residential
13363170380000,2011,Single-Family Residential
13363170400000,2017,Multi-Family Residential
13363170500000,2008,Single-Family Residential
13363170510000,2008,Single-Family Residential
13363170530000,2007,Single-Family Residential
13363180020000,2012,Single-Family Residential
13363180060000,2019,Single-Family Residential
13363180070000,2011,Single-Family Residential
13363180260000,2014,Single-Family Residential
13363180340000,2011,Single-Family Residential
13363180470000,2011,Single-Family Residential
13363180480000,2011,Single-Family Residential
13363190010000,2011,Single-Family Residential
13363190060000,2011,Single-Family Residential
13363190070000,2008,Single-Family Residential
13363190170000,2022,Single-Family Residential
13363190200000,2011,Single-Family Residential
13363190420000,2018,Single-Family Residential
13363190430000,2018,Single-Family Residential
13363190440000,2018,Single-Family Residential
13363190450000,2014,Single-Family Residential
13363190460000,2014,Single-Family Residential
13363200170000,2022,Single-Family Residential
13363200180000,2011,Single-Family Residential
13363200190000,2011,Single-Family Residential
13363200240000,2014,Single-Family Residential
13363200350000,2007,Multi-Family Residential
13363200360000,2006,Single-Family Residential
13363200370000,2006,Single-Family Residential
13363210070000,2014,Single-Family Residential
13363210120000,2012,Single-Family Residential
13363210190000,2013,Single-Family Residential
13363220140000,2012,Single-Family Residential
13363220250000,2016,Single-Family Residential
13363220260000,2014,Single-Family Residential
13363220270000,2013,Single-Family Residential
13363220320000,2012,Single-Family Residential
13363230030000,2020,Single-Family Residential
13363230070000,2016,Single-Family Residential
13363230160000,2011,Single-Family Residential
13363230290000,2014,Commercial
13363230340000,2018,Neighborhood Mixed-Use
13363240120000,2022,Single-Family Residential
13363250020000,2011,Single-Family Residential
13363250050000,2014,Single-Family Residential
13363250180000,2019,Single-Family Residential
13363260010000,2008,Multi-Family Residential
13363260040000,2011,Multi-Family Residential
13363260060000,2011,Single-Family Residential
13363260090000,2008,Single-Family Residential
13363260110000,2014,Single-Family Residential
13363260240000,2019,Multi-Family Residential
13363260270000,2014,Single-Family Residential
13363260420000,2020,Single-Family Residential
13363260430000,2018,Single-Family Residential
13363270080000,2011,Single-Family Residential
13363270110000,2011,Single-Family Residential
13363270120000,2008,Single-Family Residential
13363270230000,2012,Single-Family Residential
13363280010000,2021,Single-Family Residential
13363280280000,2011,Single-Family Residential
13363280310000,2021,Neighborhood Mixed-Use
13363280390000,2014,Single-Family Residential
13363280400000,2014,Single-Family Residential
13363280410000,2015,Single-Family Residential
13363280430000,2014,Single-Family Residential
13363280440000,2014,Single-Family Residential
13363290030000,2008,Single-Family Residential
13363290150000,2021,Single-Family Residential
13363300280000,2013,Single-Family Residential
13363300290000,2013,Single-Family Residential
13363300510000,2018,Single-Family Residential
13363300520000,2018,Single-Family Residential
13363310100000,2021,Single-Family Residential
13363310130000,2012,Single-Family Residential
13363310180000,2006,Multi-Family Residential
13364000330000,2011,Neighborhood Mixed-Use
13364020270000,2006,Single-Family Residential
13364020280000,2007,Single-Family Residential
13364020360000,2008,Single-Family Residential
13364030160000,2014,Commercial
13364040200000,2017,Planned Development
13364040260000,2019,Neighborhood Mixed-Use
13364060100000,2014,Single-Family Residential
13364060290000,2006,Single-Family Residential
13364060320000,2006,Single-Family Residential
13364060330000,2006,Single-Family Residential
13364060420000,2009,Multi-Family Residential
13364060510000,2017,Single-Family Residential
13364070010000,2016,Single-Family Residential
13364070020000,2015,Single-Family Residential
13364070030000,2014,Single-Family Residential
13364070180000,2015,Single-Family Residential
13364070230000,2006,Single-Family Residential
13364070250000,2010,Single-Family Residential
13364070270000,2006,Single-Family Residential
13364070300000,2007,Single-Family Residential
13364070410000,2018,Planned Development
13364070420000,2018,Planned Development
13364070430000,2018,Planned Development
13364070440000,2018,Planned Development
13364070450000,2018,Planned Development
13364070460000,2018,Planned Development
13364070470000,2018,Planned Development
13364070480000,2018,Planned Development
13364070490000,2018,Planned Development
13364070500000,2018,Planned Development
13364070510000,2018,Planned Development
13364070520000,2018,Planned Development
13364070530000,2018,Planned Development
13364070540000,2018,Planned Development
13364070550000,2018,Planned Development
13364070560000,2018,Planned Development
13364070570000,2018,Planned Development
13364070580000,2018,Planned Development
13364070590000,2018,Planned Development
13364070600000,2018,Planned Development
13364070610000,2018,Planned Development
13364070620000,2018,Planned Development
13364070630000,2018,Planned Development
13364070640000,2018,Planned Development
13364070650000,2018,Planned Development
13364070660000,2018,Planned Development
13364070670000,2018,Planned Development
13364070680000,2018,Planned Development
13364070690000,2018,Planned Development
13364070700000,2018,Planned Development
13364070730000,2018,Planned Development
13364070740000,2018,Planned Development
13364070750000,2018,Planned Development
13364070760000,2018,Planned Development
13364070770000,2018,Planned Development
13364070780000,2018,Planned Development
13364070790000,2018,Planned Development
13364070800000,2018,Planned Development
13364070810000,2018,Planned Development
13364070820000,2018,Planned Development
13364070830000,2018,Planned Development
13364070840000,2018,Planned Development
13364070850000,2018,Planned Development
13364070860000,2018,Planned Development
13364070870000,2018,Planned Development
13364070880000,2018,Planned Development
13364070890000,2018,Planned Development
13364070900000,2018,Planned Development
13364070910000,2018,Planned Development
13364070920000,2018,Planned Development
13364080130000,2015,Multi-Family Residential
13364080140000,2015,Multi-Family Residential
13364080180000,2006,Single-Family Residential
13364080290000,2018,Single-Family Residential
13364080300000,2016,Single-Family Residential
13364080310000,2014,Single-Family Residential
13364080350000,2006,Single-Family Residential
13364080410000,2006,Single-Family Residential
13364080500000,2013,Single-Family Residential
13364080510000,2020,Single-Family Residential
13364080550000,2008,Multi-Family Residential
13364080580000,2011,Multi-Family Residential
13364080590000,2011,Multi-Family Residential
13364080610000,2011,Multi-Family Residential
13364090130000,2008,Neighborhood Mixed-Use
13364090140000,2008,Neighborhood Mixed-Use
13364090210000,2011,Neighborhood Mixed-Use
13364090260000,2011,Single-Family Residential
13364090300000,2007,Single-Family Residential
13364090370000,2019,Single-Family Residential
13364090380000,2008,Single-Family Residential
13364090390000,2019,Single-Family Residential
13364090450000,2006,Single-Family Residential
13364090460000,2006,Single-Family Residential
13364100110000,2012,Single-Family Residential
13364100150000,2006,Single-Family Residential
13364110100000,2011,Single-Family Residential
13364110240000,2007,Multi-Family Residential
13364110350000,2013,Single-Family Residential
13364110490000,2009,Single-Family Residential
13364120110000,2015,Single-Family Residential
13364130010000,2007,Single-Family Residential
13364130020000,2007,Single-Family Residential
13364130280000,2008,Single-Family Residential
13364130300000,2010,Single-Family Residential
13364130360000,2020,Single-Family Residential
13364130370000,2015,Single-Family Residential
13364130400000,2018,Single-Family Residential
13364130490000,2007,Single-Family Residential
13364130520000,2021,Single-Family Residential
13364140050000,2008,Single-Family Residential
13364140150000,2012,Multi-Family Residential
13364140410000,2022,Neighborhood Mixed-Use
13364140420000,2020,Neighborhood Mixed-Use
13364140540000,2017,Single-Family Residential
13364140550000,2018,Single-Family Residential
13364140560000,2019,Single-Family Residential
13364160030000,2008,Single-Family Residential
13364160060000,2021,Single-Family Residential
13364160090000,2016,Single-Family Residential
13364160130000,2016,Single-Family Residential
13364160190000,2014,Single-Family Residential
13364160230000,2006,Multi-Family Residential
13364160400000,2008,Neighborhood Mixed-Use
13364180060000,2011,Single-Family Residential
13364180070000,2007,Multi-Family Residential
13364180150000,2015,Single-Family Residential
13364180190000,2015,Single-Family Residential
13364180320000,2022,Single-Family Residential
13364190140000,2011,Single-Family Residential
13364190160000,2011,Single-Family Residential
13364190210000,2017,Single-Family Residential
13364190320000,2006,Single-Family Residential
13364190350000,2006,Single-Family Residential
13364190370000,2022,Single-Family Residential
13364200080000,2013,Single-Family Residential
13364200210000,2013,Single-Family Residential
13364200260000,2008,Single-Family Residential
13364200270000,2008,Single-Family Residential
13364200280000,2007,Single-Family Residential
13364200290000,2007,Single-Family Residential
13364200340000,2008,Single-Family Residential
13364200350000,2007,Single-Family Residential
13364200380000,2006,Single-Family Residential
13364200460000,2021,Single-Family Residential
13364200480000,2008,Single-Family Residential
13364210040000,2022,Single-Family Residential
13364210100000,2012,Single-Family Residential
13364210110000,2011,Single-Family Residential
13364210120000,2012,Single-Family Residential
13364210300000,2006,Single-Family Residential
13364220050000,2019,Single-Family Residential
13364220200000,2014,Single-Family Residential
13364220240000,2006,Multi-Family Residential
13364220250000,2014,Single-Family Residential
13364220290000,2011,Single-Family Residential
13364220310000,2019,Multi-Family Residential
13364220390000,2008,Single-Family Residential
13364220480000,2015,Single-Family Residential
13364220520000,2006,Multi-Family Residential
13364230100000,2006,Single-Family Residential
13364230150000,2018,Multi-Family Residential
13364230160000,2014,Single-Family Residential
13364230210000,2014,Single-Family Residential
13364230240000,2014,Single-Family Residential
13364230250000,2014,Single-Family Residential
13364230260000,2014,Single-Family Residential
13364230290000,2014,Single-Family Residential
13364230300000,2011,Single-Family Residential
13364230320000,2008,Single-Family Residential
13364230330000,2008,Single-Family Residential
13364230340000,2016,Single-Family Residential
13364240080000,2006,Single-Family Residential
13364240090000,2008,Single-Family Residential
13364240130000,2021,Multi-Family Residential
13364240250000,2008,Single-Family Residential
13364240420000,2021,Neighborhood Mixed-Use
13364240570000,2022,Planned Development
13364250360000,2014,Neighborhood Mixed-Use
13364260180000,2011,Single-Family Residential
13364260230000,2013,Single-Family Residential
13364270210000,2013,Single-Family Residential
13364270280000,2011,Single-Family Residential
13364270320000,2013,Planned Development
13364270350000,2008,Neighborhood Mixed-Use
13364270420000,2012,Single-Family Residential
13364270430000,2012,Single-Family Residential
13364270440000,2012,Single-Family Residential
13364280060000,2006,Single-Family Residential
13364290130000,2011,Single-Family Residential
13364300020000,2011,Single-Family Residential
13364300030000,2011,Single-Family Residential
13364300120000,2011,Single-Family Residential
13364300130000,2014,Single-Family Residential
13364300190000,2006,Single-Family Residential
13364300200000,2006,Single-Family Residential
13364300230000,2006,Single-Family Residential
13364310030000,2018,Single-Family Residential
13364310050000,2006,Single-Family Residential
13364310070000,2016,Single-Family Residential
13364310090000,2007,Single-Family Residential
13364310100000,2006,Single-Family Residential
13364310130000,2016,Multi-Family Residential
13364310210000,2007,Single-Family Residential
13364310320000,2007,Multi-Family Residential
13364310330000,2008,Single-Family Residential
13364320030000,2006,Multi-Family Residential
13364320110000,2012,Single-Family Residential
13364320120000,2011,Single-Family Residential
13364320250000,2019,Neighborhood Mixed-Use
13364320270000,2015,Neighborhood Mixed-Use
13364320280000,2019,Neighborhood Mixed-Use
14051020230000,2017,Single-Family Residential
14051050140000,2014,Neighborhood Mixed-Use
14051050280000,2014,Neighborhood Mixed-Use
14051170040000,2022,Single-Family Residential
14051250360000,2006,Single-Family Residential
14051280300000,2006,Single-Family Residential
14052000010000,2019,Neighborhood Mixed-Use
14053100250000,2020,Multi-Family Residential
14053110370000,2017,Single-Family Residential
14053120200000,2006,Neighborhood Mixed-Use
14053160100000,2018,Single-Family Residential
14053160670000,2006,Multi-Family Residential
14053170080000,2015,Multi-Family Residential
14062020090000,2015,Single-Family Residential
14062020260000,2015,Single-Family Residential
14062030210000,2021,Single-Family Residential
14062030220000,2021,Single-Family Residential
14062150140000,2014,Single-Family Residential
14062150460000,2019,Single-Family Residential
14062160220000,2021,Single-Family Residential
14062160230000,2021,Single-Family Residential
14062160250000,2021,Single-Family Residential
14062190090000,2014,Single-Family Residential
14062210290000,2014,Neighborhood Mixed-Use
14062250100000,2006,Planned Development
14064000380000,2013,Single-Family Residential
14064010600000,2010,Multi-Family Residential
14064010610000,2008,Multi-Family Residential
14064010640000,2018,Single-Family Residential
14064010650000,2019,Single-Family Residential
14064010660000,2017,Single-Family Residential
14064010670000,2016,Single-Family Residential
14064040170000,2006,Single-Family Residential
14064040180000,2006,Single-Family Residential
14064050170000,2006,Single-Family Residential
14064060280000,2007,Single-Family Residential
14064070070000,2022,Single-Family Residential
14064070300000,2011,Single-Family Residential
14064070620000,2006,Single-Family Residential
14064080550000,2007,Single-Family Residential
14064080560000,2007,Single-Family Residential
14064090260000,2011,Single-Family Residential
14064090740000,2014,Single-Family Residential
14064090750000,2014,Single-Family Residential
14064090760000,2015,Single-Family Residential
14064090770000,2014,Single-Family Residential
14064090780000,2014,Single-Family Residential
14064090790000,2014,Single-Family Residential
14064090800000,2014,Single-Family Residential
14064090810000,2014,Single-Family Residential
14064090820000,2014,Single-Family Residential
14064090830000,2014,Single-Family Residential
14064090840000,2014,Single-Family Residential
14064090850000,2018,Single-Family Residential
14064090860000,2019,Single-Family Residential
14064090870000,2019,Single-Family Residential
14064090880000,2021,Single-Family Residential
14064100110000,2014,Single-Family Residential
14064100180000,2021,Single-Family Residential
14064100290000,2014,Single-Family Residential
14064100480000,2021,Neighborhood Mixed-Use
14064110040000,2006,Single-Family Residential
14064120410000,2018,Single-Family Residential
14071060160000,2011,Single-Family Residential
14071080430000,2014,Single-Family Residential
14071080440000,2014,Single-Family Residential
14071090200000,2008,Single-Family Residential
14071120460000,2011,Single-Family Residential
14071130080000,2014,Single-Family Residential
14071130110000,2006,Single-Family Residential
14071130380000,2014,Single-Family Residential
14071130440000,2011,Single-Family Residential
14071150030000,2014,Single-Family Residential
14071150130000,2014,Single-Family Residential
14071150140000,2014,Single-Family Residential
14071150160000,2011,Single-Family Residential
14071150320000,2014,Single-Family Residential
14071150500000,2011,Single-Family Residential
14071160070000,2014,Single-Family Residential
14071170010000,2014,Single-Family Residential
14071170250000,2008,Multi-Family Residential
14071170260000,2008,Multi-Family Residential
14072020360000,2022,Single-Family Residential
14072050140000,2011,Single-Family Residential
14072120130000,2007,Multi-Family Residential
14072120220000,2014,Single-Family Residential
14072120230000,2014,Single-Family Residential
14072130210000,2006,Single-Family Residential
14072130230000,2014,Single-Family Residential
14072130380000,2019,Single-Family Residential
14072130390000,2018,Single-Family Residential
14072140440000,2008,Single-Family Residential
14072150070000,2006,Single-Family Residential
14072150160000,2007,Single-Family Residential
14072170060000,2006,Single-Family Residential
14072170190000,2012,Single-Family Residential
14072180230000,2008,Single-Family Residential
14072210160000,2018,Single-Family Residential
14072210220000,2006,Single-Family Residential
14072210230000,2006,Single-Family Residential
14072220020000,2011,Single-Family Residential
14072220130000,2014,Single-Family Residential
14072220140000,2014,Single-Family Residential
14072220180000,2015,Single-Family Residential
14072220210000,2006,Single-Family Residential
14072230030000,2009,Single-Family Residential
14072230040000,2009,Single-Family Residential
14072230330000,2017,Single-Family Residential
14072230340000,2017,Single-Family Residential
14072250060000,2014,Single-Family Residential
14072270150000,2011,Single-Family Residential
14072290130000,2022,Single-Family Residential
14073000150000,2014,Single-Family Residential
14073020210000,2014,Single-Family Residential
14073030170000,2020,Neighborhood Mixed-Use
14073040070000,2006,Single-Family Residential
14073040110000,2021,Single-Family Residential
14073040310000,2006,Single-Family Residential
14073040330000,2006,Single-Family Residential
14073040420000,2022,Single-Family Residential
14073050240000,2014,Single-Family Residential
14073080030000,2011,Single-Family Residential
14073080170000,2014,Single-Family Residential
14073110020000,2019,Single-Family Residential
14073110120000,2014,Single-Family Residential
14073110260000,2022,Single-Family Residential
14073110270000,2022,Single-Family Residential
14073110280000,2022,Single-Family Residential
14073110290000,2022,Single-Family Residential
14073120060000,2017,Single-Family Residential
14073120380000,2018,Single-Family Residential
14073130040000,2021,Single-Family Residential
14073130260000,2015,Single-Family Residential
14073150220000,2022,Single-Family Residential
14073150230000,2022,Single-Family Residential
14073160020000,2014,Single-Family Residential
14073160060000,2017,Single-Family Residential
14073160370000,2018,Single-Family Residential
14073160420000,2015,Single-Family Residential
14073160470000,2014,Single-Family Residential
14073180030000,2015,Neighborhood Mixed-Use
14073190210000,2016,Single-Family Residential
14073190230000,2006,Single-Family Residential
14073190420000,2015,Single-Family Residential
14073190430000,2016,Single-Family Residential
14073200070000,2022,Single-Family Residential
14073210380000,2021,Single-Family Residential
14073220050000,2018,Single-Family Residential
14073220300000,2022,Neighborhood Mixed-Use
14073250130000,2018,Single-Family Residential
14073250200000,2019,Single-Family Residential
14074010040000,2006,Single-Family Residential
14074020090000,2022,Single-Family Residential
14074020230000,2014,Single-Family Residential
14074020240000,2014,Single-Family Residential
14074030430000,2014,Single-Family Residential
14074040200000,2011,Single-Family Residential
14074070250000,2006,Single-Family Residential
14074070260000,2006,Single-Family Residential
14074070270000,2006,Single-Family Residential
14074070280000,2006,Single-Family Residential
14074070290000,2006,Single-Family Residential
14074070300000,2013,Single-Family Residential
14074070310000,2011,Single-Family Residential
14074070320000,2019,Single-Family Residential
14074070330000,2019,Single-Family Residential
14074080160000,2006,Single-Family Residential
14074080170000,2008,Single-Family Residential
14074080380000,2022,Single-Family Residential
14074080600000,2016,Single-Family Residential
14074080860000,2019,Single-Family Residential
14074080910000,2007,Single-Family Residential
14074080920000,2008,Single-Family Residential
14074090260000,2014,Single-Family Residential
14074090330000,2014,Single-Family Residential
14074090340000,2014,Single-Family Residential
14074130290000,2014,Single-Family Residential
14074130720000,2009,Single-Family Residential
14074130730000,2007,Single-Family Residential
14074180020000,2011,Neighborhood Mixed-Use
14074210010000,2008,Single-Family Residential
14074210100000,2008,Single-Family Residential
14074210470000,2006,Single-Family Residential
14074210480000,2008,Single-Family Residential
14074220040000,2017,Single-Family Residential
14074220400000,2012,Single-Family Residential
14074220590000,2007,Single-Family Residential
14074230450000,2006,Single-Family Residential
14081010440000,2019,Commercial
14081020230000,2018,Multi-Family Residential
14081020470000,2022,Single-Family Residential
14081080580000,2020,Single-Family Residential
14081170090000,2009,Multi-Family Residential
14081170160000,2022,Single-Family Residential
14081200200000,2014,Single-Family Residential
14083050540000,2021,Commercial
14083060130000,2014,Neighborhood Mixed-Use
14083080210000,2006,Multi-Family Residential
14083090220000,2019,Neighborhood Mixed-Use
14083100120000,2007,Single-Family Residential
14083100130000,2006,Single-Family Residential
14083100340000,2008,Single-Family Residential
14083130050000,2014,Single-Family Residential
14083150160000,2008,Multi-Family Residential
14083150640000,2011,Planned Development
14083150650000,2011,Planned Development
14083150660000,2011,Planned Development
14083150670000,2011,Planned Development
14083150680000,2011,Planned Development
14083150690000,2011,Planned Development
14083150700000,2011,Planned Development
14083150710000,2011,Planned Development
14083150720000,2011,Planned Development
14083150730000,2011,Planned Development
14083150740000,2011,Planned Development
14083150750000,2011,Planned Development
14083150760000,2011,Planned Development
14083150770000,2011,Planned Development
14083150780000,2014,Planned Development
14083150790000,2014,Planned Development
14083150800000,2014,Planned Development
14083150810000,2014,Planned Development
14083150820000,2014,Planned Development
14083150830000,2014,Planned Development
14083150840000,2014,Planned Development
14083150850000,2014,Planned Development
14083150860000,2014,Planned Development
14083150870000,2016,Planned Development
14083170400000,2021,Neighborhood Mixed-Use
14084000010000,2019,Commercial
14084000040000,2017,Commercial
14084000080000,2017,Commercial
14084030150000,2021,Multi-Family Residential
14084040010000,2022,Planned Development
14084150580000,2007,Multi-Family Residential
14084150590000,2007,Multi-Family Residential
14084150600000,2007,Multi-Family Residential
14084150610000,2007,Multi-Family Residential
14084150620000,2007,Multi-Family Residential
14084150630000,2007,Multi-Family Residential
14084150640000,2007,Multi-Family Residential
14084150650000,2007,Multi-Family Residential
14084150660000,2007,Multi-Family Residential
14084150670000,2007,Multi-Family Residential
14084150680000,2007,Multi-Family Residential
14084150690000,2007,Multi-Family Residential
14084150700000,2007,Multi-Family Residential
14171000010000,2019,Neighborhood Mixed-Use
14171010180000,2021,Single-Family Residential
14171020020000,2014,Single-Family Residential
14171060100000,2008,Neighborhood Mixed-Use
14171130060000,2015,Single-Family Residential
14171150220000,2014,Multi-Family Residential
14171150250000,2022,Neighborhood Mixed-Use
14171150260000,2022,Neighborhood Mixed-Use
14171200250000,2022,Neighborhood Mixed-Use
14171210100000,2014,Neighborhood Mixed-Use
14172010070000,2021,Neighborhood Mixed-Use
14172030160000,2021,Neighborhood Mixed-Use
14173010240000,2011,Single-Family Residential
14173020060000,2022,Single-Family Residential
14173020100000,2008,Single-Family Residential
14173020240000,2011,Single-Family Residential
14173030180000,2015,Single-Family Residential
14173030210000,2009,Single-Family Residential
14173040090000,2006,Single-Family Residential
14173040250000,2016,Single-Family Residential
14173040280000,2015,Single-Family Residential
14173040390000,2010,Single-Family Residential
14173040430000,2010,Single-Family Residential
14173040440000,2013,Single-Family Residential
14173050040000,2006,Single-Family Residential
14173050260000,2007,Single-Family Residential
14173050300000,2015,Single-Family Residential
14173050340000,2011,Single-Family Residential
14173080190000,2011,Single-Family Residential
14173080230000,2008,Single-Family Residential
14173080330000,2011,Single-Family Residential
14173080350000,2012,Single-Family Residential
14173080370000,2014,Single-Family Residential
14173080380000,2022,Single-Family Residential
14173080450000,2013,Single-Family Residential
14173090150000,2013,Single-Family Residential
14173090270000,2008,Single-Family Residential
14173100560000,2010,Single-Family Residential
14173100570000,2009,Single-Family Residential
14173100580000,2015,Single-Family Residential
14173100590000,2017,Single-Family Residential
14173130040000,2011,Single-Family Residential
14173130290000,2019,Single-Family Residential
14173130520000,2018,Single-Family Residential
14173130530000,2018,Single-Family Residential
14173140100000,2007,Single-Family Residential
14173140130000,2015,Single-Family Residential
14173140140000,2014,Single-Family Residential
14173140680000,2006,Single-Family Residential
14173140700000,2012,Single-Family Residential
14173140710000,2013,Single-Family Residential
14174010400000,2014,Multi-Family Residential
14174040700000,2019,Multi-Family Residential
14174150060000,2017,Multi-Family Residential
14181020390000,2018,Neighborhood Mixed-Use
14181030130000,2022,Single-Family Residential
14181060480000,2022,Single-Family Residential
14181080100000,2018,Single-Family Residential
14181080120000,2021,Single-Family Residential
14181090030000,2019,Single-Family Residential
14181090040000,2018,Single-Family Residential
14181140140000,2018,Neighborhood Mixed-Use
14181210300000,2021,Single-Family Residential
14181220020000,2015,Single-Family Residential
14182030160000,2014,Single-Family Residential
14182030440000,2021,Single-Family Residential
14182030450000,2021,Single-Family Residential
14182040050000,2017,Single-Family Residential
14182040090000,2020,Single-Family Residential
14182040430000,2014,Single-Family Residential
14182050090000,2008,Single-Family Residential
14182090130000,2008,Single-Family Residential
14182100550000,2006,Single-Family Residential
14182100560000,2006,Single-Family Residential
14182100630000,2015,Single-Family Residential
14182100640000,2015,Single-Family Residential
14182100650000,2021,Single-Family Residential
14182160070000,2022,Single-Family Residential
14182170080000,2014,Single-Family Residential
14182170230000,2006,Single-Family Residential
14182170240000,2006,Single-Family Residential
14182230090000,2014,Single-Family Residential
14184050030000,2020,Single-Family Residential
14184050230000,2018,Multi-Family Residential
14184050240000,2014,Multi-Family Residential
14184100450000,2011,Single-Family Residential
14184100460000,2012,Single-Family Residential
14184210120000,2016,Single-Family Residential
14184210410000,2014,Single-Family Residential
14184210420000,2016,Single-Family Residential
14184220370000,2013,Neighborhood Mixed-Use
14191220250000,2011,Single-Family Residential
14191220270000,2019,Single-Family Residential
14191220310000,2006,Single-Family Residential
14191230230000,2015,Single-Family Residential
14191230240000,2011,Single-Family Residential
14191230280000,2022,Single-Family Residential
14191240220000,2019,Single-Family Residential
14191250050000,2015,Single-Family Residential
14191270280000,2015,Single-Family Residential
14191270290000,2022,Single-Family Residential
14191280040000,2020,Single-Family Residential
14191280070000,2008,Single-Family Residential
14191280120000,2019,Single-Family Residential
14191280180000,2021,Single-Family Residential
14191280190000,2006,Single-Family Residential
14191280200000,2012,Single-Family Residential
14191280240000,2011,Single-Family Residential
14191280260000,2017,Single-Family Residential
14191280370000,2014,Single-Family Residential
14191290020000,2016,Single-Family Residential
14191290050000,2015,Single-Family Residential
14191290150000,2016,Single-Family Residential
14191290230000,2014,Single-Family Residential
14191300020000,2006,Single-Family Residential
14191300040000,2016,Single-Family Residential
14191310070000,2015,Single-Family Residential
14191310100000,2014,Single-Family Residential
14191310180000,2006,Single-Family Residential
14191310430000,2022,Neighborhood Mixed-Use
14191310440000,2022,Neighborhood Mixed-Use
14192050240000,2016,Single-Family Residential
14192060250000,2022,Single-Family Residential
14192070110000,2008,Single-Family Residential
14192070130000,2019,Single-Family Residential
14192070180000,2013,Single-Family Residential
14192070560000,2012,Single-Family Residential
14192070570000,2013,Single-Family Residential
14192070580000,2012,Single-Family Residential
14192070590000,2011,Single-Family Residential
14192080050000,2007,Single-Family Residential
14192080060000,2015,Single-Family Residential
14192080120000,2021,Single-Family Residential
14192080130000,2019,Single-Family Residential
14192080200000,2017,Commercial
14192080470000,2015,Neighborhood Mixed-Use
14192120220000,2013,Single-Family Residential
14192130020000,2014,Single-Family Residential
14192130030000,2012,Single-Family Residential
14192130040000,2012,Single-Family Residential
14192130050000,2006,Single-Family Residential
14192130110000,2011,Single-Family Residential
14192130420000,2014,Single-Family Residential
14192140030000,2011,Single-Family Residential
14192140140000,2020,Single-Family Residential
14192140250000,2007,Single-Family Residential
14192140270000,2016,Single-Family Residential
14192140280000,2006,Single-Family Residential
14192140330000,2012,Single-Family Residential
14192140460000,2012,Single-Family Residential
14192140480000,2019,Single-Family Residential
14192150220000,2011,Single-Family Residential
14192150520000,2007,Single-Family Residential
14192160140000,2018,Single-Family Residential
14192160480000,2007,Neighborhood Mixed-Use
14192160490000,2007,Neighborhood Mixed-Use
14192160500000,2007,Neighborhood Mixed-Use
