pin,pin10,card_num,cards_in_history,minimum_post_1999_construction_year,latest_report_through_2022_construction_year,latest_report_through_2025_construction_year,latest_report_at_sample_end_construction_year,latest_report_all_construction_year,modal_post_1999_construction_year,latest_repeated_post_1999_construction_year,minimum_post_1999_selected_tax_year,latest_report_through_2022_selected_tax_year,latest_report_through_2025_selected_tax_year,latest_report_at_sample_end_selected_tax_year,latest_report_all_selected_tax_year,modal_post_1999_selected_tax_year,latest_repeated_post_1999_selected_tax_year,reports,first_tax_year,last_tax_year,distinct_years_all,distinct_years_post_1999,has_pre_1999_report,first_post_1999_tax_year,minimum_post_1999_year,maximum_post_1999_year,first_report_lag_minimum,revised_post_1999,unique_pin10_permit_match,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,latest_minus_minimum,latest_2025_minus_minimum,modal_minus_minimum,minimum_in_paper_window,latest_in_paper_window,latest_2025_in_paper_window,modal_in_paper_window,review_priority,minimum_permit_gap,latest_permit_gap
17071150150000,1707115015,1,1,2014,2017,2017,2017,2017,2017,2017,2018,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2017,2014,2017,3,TRUE,TRUE,2773993,2016-08-08,2016,2016-08-08,1,COMPLETE,2125 W ERIE ST,SELF CERTIFICATION REVIEW: ERECT SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR GARAGE (3B CONSTRUCTION) AS PER PLAN.,3,3,3,TRUE,TRUE,TRUE,TRUE,2,-2,1
09362000120000,0936200012,1,1,2019,2021,2021,2021,2021,2021,2021,2020,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2020,2019,2021,1,TRUE,TRUE,3036675,2019-06-10,2019,2019-08-30,1,COMPLETE,7107 N ORIOLE AVE,"BUILDING OF A SINGLE FAMILY RESIDENCE FRAME CONSTRUCTION, 2-STORY HIGH WITH BASEMENT PLUS A 3-CAR DETACHED FRAME GARAGE.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)",2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
09362030090000,0936203009,1,1,2018,2020,2020,2020,2020,2020,2020,2019,2022,2025,2022,2026,2026,2026,27,1999,2026,4,3,TRUE,2019,2018,2020,1,TRUE,TRUE,2899690,2018-01-05,2018,2018-01-09,1,COMPLETE,7119 N OSCEOLA AVE,NEW 2 STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND COVERED OPEN FRAME FRONT PORCH. NEW FRAME 3 CARS GARAGE. 300 LF OF 6 FT HIGH VINYL FENCE. ALL WORK AS PER PLANS.,2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
09362030470000,0936203047,1,1,2019,2021,2021,2021,2021,2021,2021,2020,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2020,2019,2021,1,TRUE,TRUE,3040870,2019-06-27,2019,2019-07-22,1,COMPLETE,7122 N ODELL AVE,"ERECT A NEW 2 STORY FRAME (4A CONST.) NEW CONSTRUCTION HOME WITH BASEMENT, FRONT STAIR AND 3 CAR DETACHED FRAME GARAGE AS PER PLANS.",2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
09363140330000,0936314033,1,1,2018,2020,2020,2020,2020,2020,2020,2019,2022,2025,2022,2026,2026,2026,27,1999,2026,4,3,TRUE,2019,2018,2020,1,TRUE,TRUE,2874679,2017-09-13,2017,2017-11-29,1,COMPLETE,6504 N OXFORD AVE,ERECT A NEW 2 STORY FRAME (4A CONST. TYPE) SINGLE FAMILY HOME WITH BASEMENT AND FRAME DETACHED 2 CAR GARAGE AS PER PLANS CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS),2,2,2,TRUE,TRUE,TRUE,TRUE,2,1,3
09364150310000,0936415031,1,1,2014,2016,2016,2016,2016,2016,2016,2016,2022,2025,2022,2026,2026,2026,27,1999,2026,5,4,TRUE,2016,2014,2017,2,TRUE,TRUE,2617289,2014-12-23,2014,2015-02-20,1,COMPLETE,6600 N HARLEM AVE,"NEW 3-STORY, 5-UNIT RESIDENTIAL BUILDING WITH BASEMENT,  5 PARKING SPACES, TRASH ENCLOSURE, AND FENCE, PER PLAN",2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
10321160300000,1032116030,1,1,2017,2019,2019,2019,2019,2019,2019,2018,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2018,2017,2019,1,TRUE,TRUE,2868267,2017-09-13,2017,2017-11-21,1,COMPLETE,7019 N HIAWATHA AVE,"NEW 2-STORY SINGLE-FAMILY MASONRY & FRAME RESIDENCE, 4A CONSTRUCTION, WITH BASEMENT AND ATTIC, NEW REAR WOOD DECK, NEW ATTACHED 2-CAR GARAGE, NEW DRIVEWAY, PER PLAN.      **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **",2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
10322090550000,1032209055,1,1,2017,2019,2019,2019,2019,2019,2019,2018,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2018,2017,2019,1,TRUE,TRUE,2884828,2017-11-07,2017,2017-11-27,1,COMPLETE,6930 N WILDWOOD AVE,"ERECT A NEW 2 STORY WITH BASEMENT, ATTIC, FRONT OPEN PORCH FRAME SINGLE FAMILY HOME WITH ATTACHED 2 CAR GARAGE AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)",2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
10333280210000,1033328021,1,1,2019,2021,2021,2021,2021,2021,2021,2020,2022,2025,2022,2026,2026,2026,7,2020,2026,2,2,FALSE,2020,2019,2021,1,TRUE,TRUE,2979400,2019-01-10,2019,2019-01-10,1,COMPLETE,5306 W DEVON AVE,SELF CERT: NEW CONSTRUCTION THREE UNIT IV-A CONST. RESIDENTIAL BUILDING PLUS PARKING PAD PER PLANS. (REZONED TO B2-2).  SPRINKLER SYSTEM INSTALLATION TO BE A SEPARATE SUBMISSION TO THE FIRE DEPARTMENT.,2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
12011130290000,1201113029,1,1,2018,2020,2020,2020,2020,2020,2020,2019,2022,2025,2022,2026,2026,2026,27,1999,2026,3,2,TRUE,2019,2018,2020,1,TRUE,TRUE,2913466,2018-05-01,2018,2018-05-03,1,COMPLETE,7618 W MYRTLE AVE,NEW 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT. NEW 2 CAR FRAME GARAGE. INSTALL 6 FEET HIGH WOOD FENCE. ALL WORK AS PER PLANS.,2,2,2,TRUE,TRUE,TRUE,TRUE,2,0,2
