pin,pin10,card_num,cards_in_history,tax_year,previous_year_built,year_built,transition_type,previous_building_sqft,building_sqft,sqft_ratio,previous_land_sqft,land_sqft,previous_apartments,apartments,previous_building_use,building_use,previous_residence_type,residence_type,large_characteristic_change,candidate_pins_under_pin10,new_construction_permits_under_pin10,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,unique_pin10_permit_match,build_minus_permit_year,permit_supports_new_year,permit_postdates_previous_reported_year,candidate_type
09362220020000,0936222002,1,1,2005,1923,2004,pre_1999_to_post_1999,1120,2504,2.2357142857142858,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362230040000,0936223004,1,1,2008,1923,2007,pre_1999_to_post_1999,1144,2919,2.5515734265734267,4720,4720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362230310000,0936223031,1,1,2004,1925,2003,pre_1999_to_post_1999,1380,2766,2.0043478260869567,NA,NA,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362240050000,0936224005,1,1,2004,1889,2003,pre_1999_to_post_1999,1752,3412,1.947488584474886,NA,NA,2,0,Multi-Family,Single-Family,2 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362240340000,0936224034,1,1,2016,1950,2014,pre_1999_to_post_1999,1104,2748,2.489130434782609,5512,5512,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362250180000,0936225018,1,1,2015,1922,2014,pre_1999_to_post_1999,1354,2983,2.2031019202363367,7350,7350,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2550862,2014-05-13,2014,2014-06-26,1,COMPLETE,6850 N OLCOTT AVE,ERECT A NEW 2 STORY WITH BASEMENT FRAME BRICK VENEER SINGLE FAMILY HOME AND DETACHED FRAME 2 CAR GARAGE AS PER PLANS.,TRUE,0,TRUE,TRUE,old_building_to_new_building
09362250280000,0936225028,1,1,2016,1950,2014,pre_1999_to_post_1999,1512,2990,1.9775132275132274,5512,5512,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2670453,2015-09-23,2015,2015-12-07,1,COMPLETE,6830 N OLCOTT AVE,ERECT A NEW 2 STORY FRAME SINGLE FAMILY HOME ON THE EXISTING CONCRETE FOUNDATION (CONST TYPE 4A) AND  A 3 CAR FRAME DETACHED GARAGE AS PER PLANS.,TRUE,-1,FALSE,FALSE,old_building_to_new_building
09362250330000,0936225033,1,1,2007,1894,2006,pre_1999_to_post_1999,2166,3952,1.8245614035087718,8820,8820,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362250340000,0936225034,1,1,2019,1967,2018,pre_1999_to_post_1999,1248,3289,2.6354166666666665,5880,5880,0,0,Single-Family,Single-Family,Split Level,2 Story,TRUE,1,1,2872075,2017-09-05,2017,2017-10-04,1,COMPLETE,6822 N OLCOTT AVE,"RS-2 - ERECT NEW, FRAME, 2 STORY SINGLE FAMILY HOUSE WITH BASEMENT, REAR OPEN DECK AND FRAME DETACHED 3 CAR PRIVATE GARAGE AS PER PLANS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **",TRUE,1,TRUE,TRUE,old_building_to_new_building
09362270280000,0936227028,1,1,2015,1923,2014,pre_1999_to_post_1999,1626,3052,1.8769987699876998,5200,5200,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,1,2571444,2014-09-17,2014,2014-10-24,1,COMPLETE,7319 W IBSEN ST,ERECT A NEW 2 STORY FRAME SINGLE FAMILY HOME WITH BASEMENT AND FRONT PORCH ALSO  NEW 2 CAR FRAME GARAGE ALLEY ACCESS(CONDITIONALPERMIT SUBJECT TO FIELD INSPECTIONS.),TRUE,0,TRUE,TRUE,old_building_to_new_building
09363070120000,0936307012,1,1,2020,1916,2019,pre_1999_to_post_1999,1415,3241,2.290459363957597,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,3048852,2019-07-09,2019,2019-08-29,1,COMPLETE,7727 W COLUMBIA AVE,NEW 2 STORY SINGLE FAMILY FRAME RESIDENCE WITH BASEMENT AND ATTACHED 2 CAR GARAGE. NEW REAR WOOD DECK AND STAIR WITH PERGOLA. NEW FRONT ROOFED PORCH. INSTALL 6 FEET HIGH WOOD FENCE. ALL WORK AS PER PLANS.,TRUE,0,TRUE,TRUE,old_building_to_new_building
09363070360000,0936307036,1,1,2000,1932,1999,pre_1999_to_post_1999,691,3010,4.356005788712012,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
