pin,construction_year,construction_proxy_date,multifamily,dist_to_boundary,ward_pair,longitude,latitude,anchor_date,anchor_zone_group,anchor_source,construction_replayed_zone_group,construction_linked_event_count,construction_applied_event_count,construction_applied_matter_ids,zone_code_2025,zone_group_2025,ordinance_number_2025,ordinance_date_2025,current_ordinance_date_recovered,current_event_date_for_validation,current_check_replayed_zone_group,current_check_linked_event_count,current_check_applied_event_count,current_check_applied_matter_ids,current_last_event_preconstruction,current_replay_matches_2025,current_event_source_groups,current_event_destination_groups,current_event_transition_source,current_event_origin_supports_construction_group,construction_zone_group,construction_zoning_status,construction_zone_group_supported
13011260550000,2006,2006-06-15,False,845.3539524502721,40_50,-87.7046821576,41.99273164510001,2006-01-01,Single-Family Residential,reviewed_history_seed,Multi-Family Residential,1,1,journal_A5865,RT-4,Multi-Family Residential,A5865,2006-02-08,,2006-02-08,Multi-Family Residential,1,1,journal_A5865,True,True,Single-Family Residential,Multi-Family Residential,council_journal_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13011260620000,2007,2007-06-15,False,315.81460269158555,40_50,-87.7051466678,41.99127604580001,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13011260640000,2007,2007-06-15,False,328.2790204678579,40_50,-87.7051478147,41.9913102525,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13011260650000,2009,2009-06-15,False,344.8612338034281,40_50,-87.7051493992,41.99135575999999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13012280250000,2019,2019-06-15,False,863.5298344500906,40_50,-87.6937047642,41.991674349,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13013110490000,2021,2021-06-15,True,751.2329218538556,40_50,-87.7045755001762,41.988350879705386,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RM-5,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_anchor_replay_matches_current_group,True
13013180010000,2006,2006-06-15,False,1083.6067015149831,39_40,-87.7037750408,41.9865618911,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13013210180000,2008,2008-06-15,True,1408.5669460876968,40_50,-87.6996221631,41.98657600759999,2006-01-01,Neighborhood Mixed-Use,reviewed_history_seed,Neighborhood Mixed-Use,1,0,,B2-5,Neighborhood Mixed-Use,16030,2007-03-14,,2007-03-14,Neighborhood Mixed-Use,1,0,,True,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,council_journal_parser,True,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
13014060090000,2007,2007-06-15,True,227.74041480278015,40_50,-87.6917341085865,41.98992158850548,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RT-3.5,Multi-Family Residential,16436,2008-01-09,,2008-01-09,Multi-Family Residential,1,1,journal_16436,False,True,Single-Family Residential,Multi-Family Residential,council_journal_parser,True,Single-Family Residential,supported_reviewed_2006_history,True
13014130470000,2008,2008-06-15,True,756.8746722554569,40_50,-87.6929021841,41.9884010625,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
