target_year,reference_x_3435,reference_y_3435
2015,1144954.1282864178,1923767.444091275
2015,1145793.0884701435,1924228.4492197768
2015,1147818.5845066295,1926019.720175797
2015,1149234.0138772684,1926657.544744494
2015,1149234.7230077423,1926632.5749263256
2015,1151454.7946355955,1925827.647622596
2015,1155255.2923909344,1913186.4065918257
2015,1156893.229606625,1931526.0247908055
2015,1158190.7296977271,1915406.634787828
2015,1158852.2000000002,1916379.8599999992
2015,1159032.3938186686,1914845.4042538565
2015,1159796.0405318567,1904022.9178823545
2015,1160652.0849051208,1880649.8763039184
2015,1161156.095976499,1911697.4072296824
2015,1161312.9244722845,1911562.9227786085
2015,1161448.9196007992,1903636.8548002949
2015,1161472.9354306369,1903637.801055275
2015,1161784.7045322042,1911919.7748008904
2015,1162522.9603566604,1920637.745697595
2015,1162555.314047203,1920638.5202340565
2015,1162590.7500255464,1920637.5060591227
2015,1163686.392212418,1908757.6731673577
2015,1164102.6729266397,1924685.7948208463
2015,1164103.3527357522,1924661.004761089
2015,1165418.2064273276,1879176.0277559515
2015,1165418.8742106229,1879149.5361631832
2015,1165427.6688891342,1878936.8767574723
2015,1165972.5090593265,1927563.6002292968
2015,1167068.1552641054,1918420.1974149009
2015,1169038.8468436317,1914608.1960280489
2015,1173333.745271696,1879119.7499677576
2015,1179299.8301008109,1904215.5516389725
2015,1181167.06954305,1873230.3006213557
2015,1181313.8197918828,1873184.590022556
2015,1186482.4061044536,1862723.2252390636
2016,1144932.947213092,1923634.184277356
2016,1147923.524060829,1926062.767690098
2016,1147996.54,1930484.3599999992
2016,1152885.0402135733,1913307.5981076595
2016,1155252.401860611,1913270.5033338713
2016,1155253.187635107,1913249.481535887
2016,1155253.8915188164,1913228.3832586743
2016,1155254.5956491765,1913207.2851270856
2016,1155254.6317424222,1913166.251583302
2016,1158705.895178746,1910096.1396530685
2016,1159033.3418609889,1914815.8449221423
2016,1160001.2694922914,1880986.5473063276
2016,1160001.8481854908,1880965.9155079536
2016,1160002.4205645083,1880945.5084920349
2016,1160002.992935489,1880925.1015079524
2016,1160003.6022069429,1880904.0878375997
2016,1160077.030943298,1880988.8780288424
2016,1160077.6182172918,1880968.2271133584
2016,1160078.1913033747,1880947.825904369
2016,1160078.7639760994,1880927.424490447
2016,1160079.3589325703,1880906.4996192977
2016,1160700.8874238045,1880568.2326851615
2016,1161559.5147749058,1904068.7985472016
2016,1163844.1713880803,1939404.5776222805
2016,1164186.7133198832,1922810.578984599
2016,1165755.9372507203,1924338.7590764265
2016,1166539.55942614,1924958.737981435
2016,1169039.9422455584,1914576.411879489
2016,1169042.5229655742,1914496.1129649684
2016,1169661.430664495,1917232.040652576
2016,1169718.1748182457,1925073.1318368204
2016,1170839.2831065056,1903331.8423114768
2016,1170887.4205971838,1903345.0135757884
2016,1172918.8949587864,1907139.6327629483
2016,1173332.761102049,1879161.438386829
2016,1173827.4725332456,1906690.7547091455
2016,1175043.1358259656,1908430.343893157
2016,1175192.8642299103,1908567.6525062623
2016,1175223.044682443,1908480.8105359848
2016,1181515.080030162,1872867.6199422816
2016,1182149.4709506065,1873761.4637598551
2016,1182256.1567987555,1873734.021841502
2017,1132316.4197275003,1913494.572595189
2017,1132638.926560701,1913462.9270080416
2017,1132640.3969392986,1913412.4484919591
2017,1132641.5824385171,1913361.6145423672
2017,1132643.6539731126,1913310.4668407212
2017,1138874.5214286684,1930447.606624298
2017,1138899.1611915815,1930448.201218187
2017,1140996.5893910904,1923200.9961560604
2017,1141020.58307912,1923201.552080601
2017,1145685.1500654945,1922129.829995955
2017,1145685.8801636563,1922104.669944553
2017,1155785.723498347,1922956.805650706
2017,1155788.131179788,1922992.400326249
2017,1155789.0608737026,1923016.751893597
2017,1155789.136322796,1923045.928077298
2017,1158865.738989057,1914566.0871582744
2017,1159332.2096511342,1897593.8849772273
2017,1159380.309796051,1897594.865075145
2017,1159522.599795335,1916218.160655968
2017,1159523.4599397182,1916193.2199959091
2017,1159525.2062317815,1912309.5331197751
2017,1161556.984393093,1911855.5501223272
2017,1161625.3506245876,1911736.2763603197
2017,1163844.8420040065,1939379.83722508
2017,1163961.3504427036,1935013.3622563889
2017,1163994.2135462433,1935014.1371871512
2017,1164954.9516881525,1908161.1438755936
2017,1165756.61226721,1924313.7187973731
2017,1165947.5190063417,1927562.9599165488
2017,1166866.740149154,1903415.3589082544
2017,1168564.666979508,1923976.4116691384
2017,1172506.7500792716,1912180.940225163
2017,1172530.0997208676,1912184.457377921
2017,1172576.27341674,1912185.6714209788
2017,1172806.760698252,1905183.2473425467
2017,1178448.51162761,1890850.187321558
2017,1178449.0650558309,1890827.2436405583
2017,1178449.7080130274,1890800.5395524744
2017,1178511.862313993,1890877.054365961
2017,1178512.470444573,1890851.891754083
2017,1178513.6701249992,1890802.25175
2017,1178568.3022803685,1890878.5589102805
2017,1178568.9078437889,1890853.3960551273
2017,1178569.458975691,1890830.4527132325
2017,1178570.0970345985,1890803.7630208267
2017,1180892.3209914304,1874409.7454481672
2017,1180942.2957600337,1874411.2047977196
2017,1181340.538905409,1872097.6056423637
2017,1184264.6699999997,1864384.4041250015
2017,1184265.3094926586,1864359.4133721748
2018,1144100.6606032278,1922329.574156896
2018,1144102.59754566,1922306.4511905075
2018,1144103.2468605377,1922282.7908335356
2018,1146613.2114626996,1926547.2726264936
2018,1147641.490059922,1923913.9050033272
2018,1147642.250065077,1923888.6749966743
2018,1147871.1260648535,1922988.2566602735
2018,1147899.7134217992,1922977.009949238
2018,1148001.7637381095,1930508.7825377076
2018,1149232.576746423,1926707.8600931892
2018,1149233.2978819336,1926682.6401933136
2018,1151807.7616424756,1912538.0298449097
2018,1151808.3500986462,1912518.493811796
2018,1151808.8939550282,1912500.5219360413
2018,1151809.43747804,1912482.5500514992
2018,1151809.981163347,1912464.5783066517
2018,1151810.5247883468,1912446.6065566544
2018,1151811.1545026794,1912425.8269742404
2018,1155493.0815693624,1910704.4447183025
2018,1157085.9047951514,1910968.3004333193
2018,1157086.659632802,1910943.3209582204
2018,1158149.0704134267,1917516.956205175
2018,1158149.8604790298,1917492.9110929547
2018,1158300.1968770935,1919269.397949172
2018,1159061.7358649755,1912808.9025955205
2018,1159062.0430400583,1912736.7964445131
2018,1159080.2058307074,1912737.1583665393
2018,1159081.4011988963,1912809.307090115
2018,1159098.2013053764,1912737.5112303644
2018,1159100.896292089,1912809.6953758432
2018,1159114.4223391823,1912737.8266628017
2018,1159115.3121789622,1912809.984392451
2018,1159123.420241435,1912738.0023821832
2018,1159124.3098806115,1912810.1642789952
2018,1159135.6917785492,1912738.2428818652
2018,1159138.3863348723,1912810.443665417
2018,1159156.6864138271,1912738.655086381
2018,1159157.8812338498,1912810.8310094576
2018,1159161.568018684,1912667.8121881275
2018,1159163.3310710413,1912595.5630670125
2018,1159177.931929911,1912739.2028025128
2018,1159179.0407820176,1912811.2513255996
2018,1159182.729597423,1912668.233130014
2018,1159184.492290395,1912595.9821484848
2018,1159202.2263533524,1912668.620996318
2018,1159203.9884036216,1912596.3675745036
2018,1159205.565971622,1912739.691833796
2018,1159220.223183317,1912668.978177909
2018,1159221.985424256,1912596.7277444275
2018,1159223.773586556,1912739.9494050816
2018,1159237.2962514032,1912812.5215600864
2018,1159239.9469723606,1912669.2822115407
2018,1159241.769011604,1912740.2994425895
2018,1159241.7995455505,1912597.019914142
2018,1159258.4701049833,1912812.8545609752
2018,1159261.2640829107,1912740.6813220745
2018,1159267.3387386522,1912669.7957154592
2018,1159270.920564794,1912597.5895367812
2018,1159279.6745525768,1912813.275701214
2018,1159282.2592562404,1912741.0872121025
2018,1159285.6469522542,1912670.268446197
2018,1159290.637791905,1912598.0883494697
2018,1159300.8791764872,1912813.6969324097
2018,1159303.2534186682,1912741.49625974
2018,1159305.143394016,1912670.650762894
2018,1159308.634419585,1912598.4477424729
2018,1159322.0836753598,1912814.118297988
2018,1159324.2481765368,1912741.908573464
2018,1159326.1405790113,1912671.0641224035
2018,1159328.131849208,1912598.834341044
2018,1159345.9219361625,1912814.5336443472
2018,1159347.939031839,1912742.299264947
2018,1159349.855465119,1912671.463231877
2018,1159351.8391156814,1912599.2467646825
2018,1159431.3716124156,1914789.6561309656
2018,1159433.0256205818,1914736.6931526256
2018,1159689.3204230438,1904020.570112714
2018,1159716.3109303757,1904021.1616697065
2018,1159743.3000813124,1904021.749166341
2018,1162421.5202773595,1904563.117474889
2018,1163352.9575157675,1862733.818754841
2018,1164080.8551149622,1939151.5884968825
2018,1164612.5235593985,1922955.79437899
2018,1164613.1833416517,1922931.32437094
2018,1164631.936090329,1882580.8855107657
2018,1164656.700854482,1882590.5648014396
2018,1164681.6247264063,1882592.938362988
2018,1164706.8200000003,1882593.5700000003
2018,1165043.119260597,1879576.4427737931
2018,1165062.902257046,1879576.889144197
2018,1165082.685125181,1879577.335111902
2018,1165102.4678750285,1879577.781111905
2018,1165122.9168027467,1879578.243750561
2018,1165907.265741835,1927229.5549936872
2018,1165932.2657500005,1927230.205
2018,1167396.528919174,1918523.9045436848
2018,1168690.5938276486,1923723.8449558013
2018,1168704.524239036,1923928.0831090868
2018,1170541.1603487788,1899136.3362317127
2018,1170843.542231911,1909826.64588069
2018,1170843.5936796917,1909826.6343816584
2018,1170848.3745901969,1909816.970819019
2018,1170854.3661088287,1909683.0065492229
2018,1171033.2417767714,1886803.821413371
2018,1171080.8649030924,1912859.671208148
2018,1171084.1371992514,1909751.1572342392
2018,1171129.1212746026,1893227.2570473144
2018,1171149.832248026,1893227.719840291
2018,1171172.6064419623,1886750.628542938
2018,1171188.3447307795,1893220.2070050624
2018,1171202.2854243077,1893308.852149796
2018,1171202.774017132,1893289.8996275456
2018,1171203.250036846,1893271.405735294
2018,1171210.3116008814,1886752.3498584032
2018,1171211.1561275823,1893240.3962719075
2018,1171377.7757908066,1913304.7882471827
2018,1171451.4360350815,1893799.0494522096
2018,1171500.379969312,1893800.229390653
2018,1171520.047875,1892578.653999999
2018,1171525.2858274905,1893800.714514749
2018,1171542.3291250002,1892579.275249999
2018,1171550.7995108287,1893801.675624791
2018,1171562.9759999996,1892579.8508749995
2018,1171583.5957999935,1892581.7599680529
2018,1171606.4484151695,1892582.2951792076
2018,1171626.9868749997,1892581.635499999
2018,1171647.6390153775,1892582.211378747
2018,1171669.9403749993,1892582.8332500015
2018,1172553.1156041515,1912181.9937878463
2018,1172605.1875272675,1912184.9939952868
2018,1172936.2656924825,1910745.6990033104
2018,1173620.701319217,1876535.3015477424
2018,1173621.3127618614,1876514.1202806951
2018,1173621.9229279505,1876492.979095346
2018,1173622.5433226505,1876471.6657450292
2018,1174354.1547516177,1908147.314212686
2018,1178447.9012687623,1890875.3499891297
