attom_id,address
43617508,"8219 S INDIANA AVE, CHICAGO, IL, 60619-4724"
204314982,"4848 N DAMEN AVE, CHICAGO, IL, 60625-1413"
150305996,"747 N MAY ST, CHICAGO, IL, 60622-7801"
175271664,"3805 W 63RD PL, CHICAGO, IL, 60629-4752"
31957709,"4512 S LOWE AVE, CHICAGO, IL, 60609-3422"
17146699,"4110 N SAINT LOUIS AVE, CHICAGO, IL, 60618-2214"
22211670,"6125 S KARLOV AVE, CHICAGO, IL, 60629-4930"
175380427,"1715 W 104TH ST, CHICAGO, IL, 60643-2803"
176192540,"5742 S WOLCOTT AVE, CHICAGO, IL, 60636-1637"
1073378,"2151 N KARLOV AVE, CHICAGO, IL, 60639-3715"
4390650,"7040 S YALE AVE, CHICAGO, IL, 60621-3634"
297970,"10602 S LAFAYETTE AVE, CHICAGO, IL, 60628-2631"
3441089,"5731 S GREEN ST, CHICAGO, IL, 60621-2227"
52567838,"9145 S EUCLID AVE, CHICAGO, IL, 60617-3749"
19597532,"8039 S CAMPBELL AVE, CHICAGO, IL, 60652-2821"
144729518,"4129 W WEST END AVE, CHICAGO, IL, 60624-2330"
22102778,"4707 N OAKVIEW ST, CHICAGO, IL, 60656-4111"
141346039,"1712 N TRIPP AVE, CHICAGO, IL, 60639-4862"
39017188,"2905 N LINDER AVE, CHICAGO, IL, 60641-4812"
175029782,"4041 N KEYSTONE AVE, CHICAGO, IL, 60641-5557"
24500246,"4227 N WHIPPLE ST, CHICAGO, IL, 60618-2515"
175121881,"4307 N PAULINA ST, CHICAGO, IL, 60613-1229"
3982914,"8714 S KENWOOD AVE, CHICAGO, IL, 60619-7032"
204337309,"965 W 18TH ST, CHICAGO, IL, 60608-2362"
175256576,"5001 S LOREL AVE, CHICAGO, IL, 60638-1737"
175357154,"3624 W 117TH ST, CHICAGO, IL, 60655-4226"
126920,"7301 S CONSTANCE, CHICAGO, IL, 60619-7219"
175296860,"6529 S DREXEL AVE, CHICAGO, IL, 60637-4205"
2285975,"941 W ALTGELD ST, CHICAGO, IL, 60614-2404"
27104607,"3219 N OSCEOLA AVE, CHICAGO, IL, 60634-3334"
24500581,"3027 S CENTRAL PARK AVE, CHICAGO, IL, 60623-4649"
45069112,"4910 N RIDGEWAY AVE, CHICAGO, IL, 60625-8365"
174971728,"6691 N CALDWELL AVE, CHICAGO, IL, 60646-2728"
13698408,"2738 N CENTRAL PARK AVE, CHICAGO, IL, 60647-1124"
175170003,"2545 S CENTRAL PARK AVE, CHICAGO, IL, 60623-3941"
24577957,"3027 W ARTHINGTON ST, CHICAGO, IL, 60612-3902"
175208006,"1825 S MAY ST, CHICAGO, IL, 60608-3360"
43626087,"8375 S KIMBARK AVE, CHICAGO, IL, 60619-6440"
26182467,"7535 N ORIOLE AVE, CHICAGO, IL, 60631-4259"
46156829,"4112 W 5TH AVE, CHICAGO, IL, 60624-3509"
175382030,"9034 S HOUSTON AVE, CHICAGO, IL, 60617-4311"
175046205,"5300 W SUNNYSIDE AVE, CHICAGO, IL, 60630-4767"
38797874,"3452 N CLARK ST, CHICAGO, IL, 60657-1660"
77894,"1717 N NEWLAND AVE, CHICAGO, IL, 60707-4410"
9923398,"5325 N NEWCASTLE AVE, CHICAGO, IL, 60656-2019"
17352596,"1708 N KEATING AVE, CHICAGO, IL, 60639-4605"
175162899,"3006 W POLK ST, CHICAGO, IL, 60612-3907"
43642928,"5132 S ALBANY AVE, CHICAGO, IL, 60632-2108"
8683802,"208 N MAYFIELD AVE, CHICAGO, IL, 60644-2135"
175384317,"1050 E 95TH ST, CHICAGO, IL, 60619-7828"
18779266,"5441 S CHRISTIANA AVE, CHICAGO, IL, 60632-3217"
38965996,"5031 N KOLMAR AVE, CHICAGO, IL, 60630-1716"
16507468,"1723 W MONTROSE AVE, CHICAGO, IL, 60613-1107"
175314457,"12616 S EMERALD AVE, CHICAGO, IL, 60628-7008"
31548781,"4527 S WHIPPLE ST, CHICAGO, IL, 60632-2540"
3684461,"5418 S LAWNDALE AVE, CHICAGO, IL, 60632-3241"
19279953,"3916 N ORIOLE AVE, CHICAGO, IL, 60634-2121"
175299625,"3340 W 81ST ST, CHICAGO, IL, 60652-2560"
54147694,"854 E 87TH PL, CHICAGO, IL, 60619-6906"
38921683,"4542 S RICHMOND ST, CHICAGO, IL, 60632-1928"
24629268,"5635 S TRUMBULL AVE, CHICAGO, IL, 60629-3117"
176153591,"7633 W CLARENCE AVE, CHICAGO, IL, 60631-1805"
24632130,"6052 S WASHTENAW AVE, CHICAGO, IL, 60629-1536"
2639553,"2021 N KEDZIE AVE, CHICAGO, IL, 60647-3787"
175238217,"3748 S KING DR, CHICAGO, IL, 60653-1631"
204284848,"2245 W RACE AVE, CHICAGO, IL, 60612-1521"
174868872,"1132 E 81ST ST, CHICAGO, IL, 60619-4576"
23654066,"5748 W 64TH ST, CHICAGO, IL, 60638-5510"
31323392,"2934 W MONTROSE AVE, CHICAGO, IL, 60618-1470"
204315364,"7626 S LOWE AVE, CHICAGO, IL, 60620-1815"
174694312,"7452 N OKETO AVE, CHICAGO, IL, 60631-4429"
34817479,"2010 W 22ND PL, CHICAGO, IL, 60608-4114"
23388585,"2502 N MASON AVE, CHICAGO, IL, 60639-2230"
175291371,"244 W SWANN ST, CHICAGO, IL, 60609-3927"
143915784,"2621 W 55TH ST, CHICAGO, IL, 60632-1510"
38840895,"1928 W IRVING PARK RD, CHICAGO, IL, 60613-2408"
